"id","Orientation_date","Orientation_time","freq_down","freq_down_unit","batchnumber","true_value_Lon","true_value_lat","true_value_error","result_confidence","false_value_lon","false_value_lat","freq_up","freq_up_unit","multiAccessMode","modulate_pattern","code_Mode","bandwidth","bandwidth_unit","sps","sps_unit","medial_sat_norad","adjacent_sat_norad1","adjacent_sat_norad2"
"923725","2020/6/14","00:04:27","266950","KHz","9972","129.763","24.947","1000","0.990","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923726","2020/6/14","00:06:34","261925","KHz","110","130.809","-12.402","8924","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923727","2020/6/14","00:07:20","261925","KHz","110","130.811","-12.407","8924","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923728","2020/6/14","00:06:11","266950","KHz","3339","129.754","25.062","66232","0.340","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","9586","Hz","25258","44637","40892"
"923729","2020/6/14","00:07:06","266950","KHz","3339","129.753","25.038","66232","0.340","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923730","2020/6/14","00:06:37","266950","KHz","3350","147.231","14.641","26527","0.740","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","19199","Hz","25258","44637","40892"
"923731","2020/6/14","00:06:39","268350","KHz","2822","144.625","13.197","22998","0.780","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923732","2020/6/14","00:07:09","268350","KHz","2915","129.704","24.465","59616","0.410","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923733","2020/6/14","00:06:46","268350","KHz","2976","103.793","1.290","11808","0.890","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923734","2020/6/14","00:06:43","268350","KHz","2993","147.207","14.406","26062","0.740","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923736","2020/6/14","00:07:48","261925","KHz","110","130.805","-12.409","8927","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923737","2020/6/14","00:06:55","252050","KHz","9971","126.997","36.995","10002","0.900","0.000","0.000","293050","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923738","2020/6/14","00:08:20","261925","KHz","110","130.812","-12.470","8919","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923739","2020/6/14","00:05:12","266950","KHz","9972","129.754","24.841","2000","0.980","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923740","2020/6/14","00:08:50","261925","KHz","110","130.818","-12.457","8923","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9613","Hz","25258","44637","40892"
"923741","2020/6/14","00:07:37","266950","KHz","3349","144.668","13.399","23361","0.770","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923742","2020/6/14","00:08:14","266950","KHz","3349","144.672","13.411","23361","0.770","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923743","2020/6/14","00:07:49","266950","KHz","3350","147.206","14.535","26461","0.740","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","19199","Hz","25258","44637","40892"
